ingr_name,ingr_id,cal/g,fat(g),carb(g),protein(g),calorie_density_category,macro_dominant
nopales,ingr_0000000539,0.16,0.001,0.033,0.014,Rendah (<1 kkal/g),Karbohidrat
ginger,ingr_0000000540,0.8,0.008,0.18,0.018,Rendah (<1 kkal/g),Karbohidrat
tomatillo,ingr_0000000541,0.32,0.01,0.06,0.01,Rendah (<1 kkal/g),Karbohidrat
white beans,ingr_0000000542,1.39,0.004,0.251,0.097,Sedang (1-3 kkal/g),Karbohidrat
chia seeds,ingr_0000000543,4.86,0.31,0.42,0.17,Tinggi (3-6 kkal/g),Karbohidrat
corn starch,ingr_0000000544,3.8,0.0005,0.914,0.003,Tinggi (3-6 kkal/g),Karbohidrat
greek yogurt,ingr_0000000545,0.59,0.004,0.036,0.1,Rendah (<1 kkal/g),Protein
balsamic vinegar,ingr_0000000546,0.88,0.0,0.17,0.005,Rendah (<1 kkal/g),Karbohidrat
corn nuts,ingr_0000000547,4.36,0.14,0.72,0.09,Tinggi (3-6 kkal/g),Karbohidrat
coconut milk,ingr_0000000548,2.3,0.24,0.06,0.023,Sedang (1-3 kkal/g),Lemak
pizza dough,ingr_0000000549,2.355,0.047,0.417,0.054,Sedang (1-3 kkal/g),Karbohidrat
fennel,ingr_0000000550,0.31,0.002,0.07,0.012,Rendah (<1 kkal/g),Karbohidrat
pizza sauce,ingr_0000000551,0.29,0.002,0.07,0.013,Rendah (<1 kkal/g),Karbohidrat
pomegranate,ingr_0000000552,0.83,0.012,0.19,0.017,Rendah (<1 kkal/g),Karbohidrat
nut cheese,ingr_0000000553,2.1,0.101,0.04,0.256,Sedang (1-3 kkal/g),Protein
soy sausage,ingr_0000000554,2.02,0.144,0.063,0.16,Sedang (1-3 kkal/g),Protein
oil,ingr_0000000555,8.864,1.0,0.0,0.0,Sangat Tinggi (>6 kkal/g),Lemak
